ftype,fcode,hydrographic_status,permanent_identifier,gnis_name,gnis_id,fdate,elevation,reachcode,county,area_ha,area_km2
390 (Lake/Pond),39004,Perennial,{E020301C-7372-41A5-8BC0-EAEF656F30AD},NA,NA,2012-10-16T00:00:00Z,NA,02080207113370,Chesterfield,1.91,0.02
390 (Lake/Pond),39004,Perennial,{4EA48B36-830D-4A21-B745-51C37C50618D},NA,NA,2012-10-16T00:00:00Z,NA,02080207113304,Chesterfield,1.9,0.02
390 (Lake/Pond),39004,Perennial,135653285,NA,NA,2005-05-17T10:57:21Z,NA,02080206002171,Henrico,1.87,0.02
390 (Lake/Pond),39004,Perennial,{E97DE973-52A1-46D3-8002-5F965352C89D},NA,NA,2012-10-16T00:00:00Z,NA,02080207113584,Chesterfield,1.87,0.02
390 (Lake/Pond),39004,Perennial,135652647,NA,NA,2005-05-17T10:41:53Z,NA,02080206014771,Henrico,1.85,0.02
390 (Lake/Pond),39004,Perennial,61497171,NA,NA,2002-11-15T00:00:00Z,NA,02080207009159,Chesterfield,1.85,0.02
390 (Lake/Pond),39004,Perennial,{6A5A38AE-09D9-42E0-A280-E27495DC1B29},NA,NA,2012-10-16T00:00:00Z,NA,02080207113623,Chesterfield,1.85,0.02
390 (Lake/Pond),39004,Perennial,62589434,NA,NA,2002-11-27T00:00:00Z,NA,02080205005251,Richmond City,1.83,0.02
390 (Lake/Pond),39004,Perennial,135653593,NA,NA,2005-05-17T11:04:12Z,NA,02080206015492,Chesterfield,1.83,0.02
390 (Lake/Pond),39004,Perennial,135652609,NA,NA,2005-05-17T10:40:55Z,NA,02080206014741,Henrico,1.82,0.02
390 (Lake/Pond),39004,Perennial,135652524,NA,NA,2012-07-25T00:00:00Z,NA,02080206014674,Henrico,1.8,0.02
390 (Lake/Pond),39004,Perennial,61495755,NA,NA,2002-11-15T00:00:00Z,NA,02080207008563,Chesterfield,1.76,0.02
390 (Lake/Pond),39004,Perennial,61497215,NA,NA,2002-11-15T00:00:00Z,NA,02080207009178,Chesterfield,1.75,0.02
390 (Lake/Pond),39004,Perennial,135652512,NA,NA,2005-05-17T10:38:30Z,NA,02080206002444,Richmond City,1.75,0.02
390 (Lake/Pond),39004,Perennial,61495143,NA,NA,2002-11-15T00:00:00Z,NA,02080207008283,Chesterfield,1.75,0.02
